"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEP135",143.781235141575,-0.550682447098448,0.130937508701881,-4.20568905394592,2.60287899550728e-05,0.0110975439408377
"COQ3",46.0850827279227,0.541315599371151,0.128713197769228,4.20559514294475,2.60396013292023e-05,0.0110975439408377
"MCM8",145.442791737654,-0.414696179079428,0.0984143683050611,-4.21377677082648,2.51135505655148e-05,0.0110975439408377
"PTGS2",48.8327851121356,1.44836501078476,0.342530268950482,4.22842925742758,2.35328485020332e-05,0.0110975439408377
"JSRP1",6.82967746061883,2.33564712930095,0.557165462392474,4.19201707024634,2.76485186804951e-05,0.0114886507247127
"IFT27",103.476474868608,0.631996260026017,0.15101563761548,4.18497229826771,2.85200879397513e-05,0.0115617654060148
"PER1",252.911549995968,-0.901499430840489,0.217077084518334,-4.15290003014736,3.2828817937955e-05,0.0129916138796845
"CEACAM5",3421.69746950072,1.31061317210719,0.31654174043854,4.1404118467645,3.46682820587443e-05,0.0134005003743812
"DAB2IP",582.348635937128,0.409269609419497,0.0995709347481492,4.11033210097592,3.95090472739639e-05,0.0145995021889174
"DHRS9",153.544724555451,0.934927310951413,0.227745005452273,4.10514956889951,4.04053366638709e-05,0.0145995021889174
"SRXN1",247.345010016336,0.831416952782144,0.202503179732353,4.10569826054593,4.03095380721103e-05,0.0145995021889174
"HCAR2",21.2819129890727,1.33430934527308,0.325956710972959,4.09351702344234,4.24878866729833e-05,0.0150253439232267
"FMO2",10.3751221428678,-2.05753477419125,0.50336866658667,-4.08753049359099,4.35989383572112e-05,0.0150970407174002
"OSTF1",319.492982781009,0.528840223789695,0.129630947671261,4.0795831033405,4.51165392384128e-05,0.0151327877554406
"TRAF7",712.923560907944,0.45127933699135,0.110675575082,4.07749710500258,4.55230965508713e-05,0.0151327877554406
